"id","name","sequence","parent","balance_sheet","income_statement"
"es_pymes","Plan General Contable Español 2008 (PYMES)",1,,,
"es_balance_pymes","BALANCE PYMES (PGCE 2008)",2,"es_pymes","True",
"es_balance_pymes_11000","A) ACTIVO NO CORRIENTE",11000,"es_balance_pymes",,
"es_balance_pymes_11100","I. Inmovilizado intangible",11100,"es_balance_pymes_11000",,
"es_balance_pymes_11200","II. Inmovilizado material",11200,"es_balance_pymes_11000",,
"es_balance_pymes_11300","III. Inversiones inmobiliarias",11300,"es_balance_pymes_11000",,
"es_balance_pymes_11400","IV. Inversiones en empresas del grupo y asociadas a largo plazo",11400,"es_balance_pymes_11000",,
"es_balance_pymes_11500","V. Inversiones financieras a largo plazo",11500,"es_balance_pymes_11000",,
"es_balance_pymes_11600","VI. Activos por impuesto diferido",11600,"es_balance_pymes_11000",,
"es_balance_pymes_11700","VII. Deudores comerciales no corrientes",11700,"es_balance_pymes_11000",,
"es_balance_pymes_12000","B) ACTIVO CORRIENTE",12000,"es_balance_pymes",,
"es_balance_pymes_12200","I. Existencias",12200,"es_balance_pymes_12000",,
"es_balance_pymes_12300","II. Deudores comerciales y otras cuentas a cobrar",12300,"es_balance_pymes_12000",,
"es_balance_pymes_12380","1. Clientes por ventas y prestaciones de servicios",12380,"es_balance_pymes_12300",,
"es_balance_pymes_12381","a) Clientes por ventas y prestaciones de servicios a largo plazo",12381,"es_balance_pymes_12380",,
"es_balance_pymes_12382","b) Clientes por ventas y prestaciones de servicios a corto plazo",12382,"es_balance_pymes_12380",,
"es_balance_pymes_12370","2. Accionistas (socios) por desembolsos exigidos",12370,"es_balance_pymes_12300",,
"es_balance_pymes_12390","3. Otros deudores",12390,"es_balance_pymes_12300",,
"es_balance_pymes_12400","III. Inversiones en empresas del grupo y asociadas a corto plazo",12400,"es_balance_pymes_12000",,
"es_balance_pymes_12500","IV. Inversiones financieras a corto plazo",12500,"es_balance_pymes_12000",,
"es_balance_pymes_12600","V. Periodificaciones a corto plazo",12600,"es_balance_pymes_12000",,
"es_balance_pymes_12700","VI. Efectivo y otros activos líquidos equivalentes",12700,"es_balance_pymes_12000",,
"es_balance_pymes_10000","TOTAL ACTIVO (A + B)",10000,"es_balance_pymes",,
"es_balance_pymes_20000","A) PATRIMONIO NETO",20000,"es_balance_pymes",,
"es_balance_pymes_21000","A-1) Fondos propios",21000,"es_balance_pymes_20000",,
"es_balance_pymes_21100","I. Capital",21100,"es_balance_pymes_21000",,
"es_balance_pymes_21110","1. Capital escriturado",21110,"es_balance_pymes_21100",,
"es_balance_pymes_21120","2. (Capital no exigido)",21120,"es_balance_pymes_21100",,
"es_balance_pymes_21200","II. Prima de emisión",21200,"es_balance_pymes_21000",,
"es_balance_pymes_21300","III. Reservas",21300,"es_balance_pymes_21000",,
"es_balance_pymes_21400","IV. (Acciones y participaciones en patrimonio propias)",21400,"es_balance_pymes_21000",,
"es_balance_pymes_21500","V. Resultados de ejercicios anteriores",21500,"es_balance_pymes_21000",,
"es_balance_pymes_21600","VI. Otras aportaciones de socios",21600,"es_balance_pymes_21000",,
"es_balance_pymes_21700","VII. Resultado del ejercicio",21700,"es_balance_pymes_21000",,
"es_balance_pymes_21800","VIII. (Dividendo a cuenta)",21800,"es_balance_pymes_21000",,
"es_balance_pymes_22000","A-2) Ajustes en patrimonio neto",22000,"es_balance_pymes_20000",,
"es_balance_pymes_23000","A-3) Subvenciones, donaciones y legados recibidos",23000,"es_balance_pymes_20000",,
"es_balance_pymes_31000","B) PASIVO NO CORRIENTE",31000,"es_balance_pymes",,
"es_balance_pymes_31100","I. Provisiones a largo plazo",31100,"es_balance_pymes_31000",,
"es_balance_pymes_31200","II. Deudas a largo plazo",31200,"es_balance_pymes_31000",,
"es_balance_pymes_31220","1. Deudas con entidades de crédito",31220,"es_balance_pymes_31200",,
"es_balance_pymes_31230","2. Acreedores por arrendamiento financiero",31230,"es_balance_pymes_31200",,
"es_balance_pymes_31290","3. Otras deudas a largo plazo",31290,"es_balance_pymes_31200",,
"es_balance_pymes_31300","III. Deudas con empresas del grupo y asociadas a largo plazo",31300,"es_balance_pymes_31000",,
"es_balance_pymes_31400","IV. Pasivos por impuesto diferido",31400,"es_balance_pymes_31000",,
"es_balance_pymes_31500","V. Periodificaciones a largo plazo",31500,"es_balance_pymes_31000",,
"es_balance_pymes_31600","VI. Acreedores comerciales no corrientes",31600,"es_balance_pymes_31000",,
"es_balance_pymes_31700","VII. Deuda con características especiales a largo plazo",31700,"es_balance_pymes_31000",,
"es_balance_pymes_32000","C) PASIVO CORRIENTE",32000,"es_balance_pymes",,
"es_balance_pymes_32200","I. Provisiones a corto plazo",32200,"es_balance_pymes_32000",,
"es_balance_pymes_32300","II. Deudas a corto plazo",32300,"es_balance_pymes_32000",,
"es_balance_pymes_32320","1. Deudas con entidades de crédito",32320,"es_balance_pymes_32300",,
"es_balance_pymes_32330","2. Acreedores por arrendamiento financiero",32330,"es_balance_pymes_32300",,
"es_balance_pymes_32390","3. Otras deudas a corto plazo",32390,"es_balance_pymes_32300",,
"es_balance_pymes_32400","III. Deudas con empresas del grupo y asociadas a corto plazo",32400,"es_balance_pymes_32000",,
"es_balance_pymes_32500","IV. Acreedores comerciales y otras cuentas a pagar",32500,"es_balance_pymes_32000",,
"es_balance_pymes_32580","1. Proveedores",32580,"es_balance_pymes_32500",,
"es_balance_pymes_32581","a) Proveedores a largo plazo",32581,"es_balance_pymes_32580",,
"es_balance_pymes_32582","b) Proveedores a corto plazo",32582,"es_balance_pymes_32580",,
"es_balance_pymes_32590","2. Otros acreedores",32590,"es_balance_pymes_32500",,
"es_balance_pymes_32600","V. Periodificaciones a corto plazo",32600,"es_balance_pymes_32000",,
"es_balance_pymes_32700","VI. Deuda con características especiales a corto plazo",32700,"es_balance_pymes_32000",,
"es_balance_pymes_30000","TOTAL PATRIMONIO NETO Y PASIVO (A + B + C)",30000,"es_balance_pymes",,
"es_pyg_pymes","PÉRDIDAS Y GANANCIAS DE PYMES (PGCE 2008)",2,"es_pymes",,"True"
"es_pyg_pymes_40100","1. Importe neto de la cifra de negocios",40100,"es_pyg_pymes",,
"es_pyg_pymes_40200","2. Variación de existencias de productos terminados y en curso de fabricación",40200,"es_pyg_pymes",,
"es_pyg_pymes_40300","3. Trabajos realizados por la empresa para su activo",40300,"es_pyg_pymes",,
"es_pyg_pymes_40400","4. Aprovisionamientos",40400,"es_pyg_pymes",,
"es_pyg_pymes_40500","5. Otros ingresos de explotación",40500,"es_pyg_pymes",,
"es_pyg_pymes_40600","6. Gastos de personal",40600,"es_pyg_pymes",,
"es_pyg_pymes_40700","7. Otros gastos de explotación",40700,"es_pyg_pymes",,
"es_pyg_pymes_40800","8. Amortización del inmovilizado",40800,"es_pyg_pymes",,
"es_pyg_pymes_40900","9. Imputación de subvenciones de inmovilizado no financiero y otras",40900,"es_pyg_pymes",,
"es_pyg_pymes_41000","10. Excesos de provisiones",41000,"es_pyg_pymes",,
"es_pyg_pymes_41100","11. Deterioro y resultado por enajenaciones del inmovilizado",41100,"es_pyg_pymes",,
"es_pyg_pymes_41300","12. Otros resultados",41300,"es_pyg_pymes",,
"es_pyg_pymes_49100","A) RESULTADO DE EXPLOTACIÓN (1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 + 10 + 11 + 12)",49100,"es_pyg_pymes",,
"es_pyg_pymes_41400","13. Ingresos financieros",41400,"es_pyg_pymes",,
"es_pyg_pymes_41430","a) Imputación de subvenciones, donaciones y legados de carácter financiero",41430,"es_pyg_pymes_41400",,
"es_pyg_pymes_41490","b) Otros ingresos financieros",41490,"es_pyg_pymes_41400",,
"es_pyg_pymes_41500","14. Gastos financieros",41500,"es_pyg_pymes",,
"es_pyg_pymes_41600","15. Variación de valor razonable en instrumentos financieros",41600,"es_pyg_pymes",,
"es_pyg_pymes_41700","16. Diferencias de cambio",41700,"es_pyg_pymes",,
"es_pyg_pymes_41800","17. Deterioro y resultado por enajenaciones de instrumentos financieros",41800,"es_pyg_pymes",,
"es_pyg_pymes_49200","B) RESULTADO FINANCIERO (13 + 14 + 15 + 16 + 17)",49200,"es_pyg_pymes",,
"es_pyg_pymes_49300","C) RESULTADO ANTES DE IMPUESTOS (A + B)",49300,"es_pyg_pymes",,
"es_pyg_pymes_41900","18. Impuestos sobre beneficios",41900,"es_pyg_pymes",,
"es_pyg_pymes_49500","D) RESULTADO DEL EJERCICIO (C + 18)",49500,"es_pyg_pymes",,
