"id","name","parent","account","group","type","recargo_equivalencia","percentage","invoice_base_code","invoice_tax_code","credit_note_base_code","credit_note_tax_code","invoice_base_sign3","invoice_tax_sign3","credit_note_base_sign3","credit_note_tax_sign3","invoice_base_sign4","invoice_tax_sign4","credit_note_base_sign4","credit_note_tax_sign4","invoice_account","credit_note_account","sequence","start_date","end_date","account_name","deducible","report_description","report_type",,,,,,,"update_unit_price",,,,"Include_347","sii_tax_used","sii_invoice_used"
"irpf_pymes_1","Retenciones IRPF 1%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-1.0')","irpf_pymes_base_1","irpf_pymes_cuota_1","irpf_pymes_base_1","irpf_pymes_cuota_1",1,1,-1,-1,1,1,1,1,"pgc_pymes_475101","pgc_pymes_475101",2530,,,"Hacienda Pública. Retenciones empresarios módulos 1%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_2","Retenciones IRPF 2%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-2.0')","irpf_pymes_base_2","irpf_pymes_cuota_2","irpf_pymes_base_2","irpf_pymes_cuota_2",1,1,-1,-1,1,1,1,1,"pgc_pymes_475102","pgc_pymes_475102",2520,,,"Hacienda Pública. Retenciones act. agrícolas, ganaderas, forestales 2%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_7","Retenciones IRPF 7%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-7.0')","irpf_pymes_base_7","irpf_pymes_cuota_7","irpf_pymes_base_7","irpf_pymes_cuota_7",1,1,-1,-1,1,1,1,1,"pgc_pymes_475107","pgc_pymes_475107",2540,,,"Hacienda Pública. Retenciones act. profesionales 7%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_9","Retenciones IRPF 9%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-9.0')","irpf_pymes_base_9","irpf_pymes_cuota_9","irpf_pymes_base_9","irpf_pymes_cuota_9",1,1,-1,-1,1,1,1,1,"pgc_pymes_475109","pgc_pymes_475109",2510,,,"Hacienda Pública. Retenciones act. profesionales 9%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_15","Retenciones IRPF 15%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-15.0')","irpf_pymes_base_15","irpf_pymes_cuota_15","irpf_pymes_base_15","irpf_pymes_cuota_15",1,1,-1,-1,1,1,1,1,"pgc_pymes_475115","pgc_pymes_475115",2500,,,"Hacienda Pública. Retenciones act. profesionales 15%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_18","Retenciones IRPF 18%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-18.0')","irpf_pymes_base_18","irpf_pymes_cuota_18","irpf_pymes_base_18","irpf_pymes_cuota_18",1,1,-1,-1,1,1,1,1,"pgc_pymes_475118","pgc_pymes_475118",2600,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 18%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_19","Retenciones IRPF 19%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-19.0')","irpf_pymes_base_19","irpf_pymes_cuota_19","irpf_pymes_base_19","irpf_pymes_cuota_19",1,1,-1,-1,1,1,1,1,"pgc_pymes_475119","pgc_pymes_475119",2590,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 19%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_195","Retenciones IRPF 19,5%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-19.5')","irpf_pymes_base_195","irpf_pymes_cuota_195","irpf_pymes_base_195","irpf_pymes_cuota_195",1,1,-1,-1,1,1,1,1,"pgc_pymes_475195","pgc_pymes_475195",2580,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 19,5%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_20","Retenciones IRPF 20%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-20.0')","irpf_pymes_base_20","irpf_pymes_cuota_20","irpf_pymes_base_20","irpf_pymes_cuota_20",1,1,-1,-1,1,1,1,1,"pgc_pymes_475120","pgc_pymes_475120",2570,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 20%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_21","Retenciones IRPF 21%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-21.0')","irpf_pymes_base_21","irpf_pymes_cuota_21","irpf_pymes_base_21","irpf_pymes_cuota_21",1,1,-1,-1,1,1,1,1,"pgc_pymes_475121","pgc_pymes_475121",2560,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 21%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_35","Retenciones IRPF 35%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-35.0')","irpf_pymes_base_35","irpf_pymes_cuota_35","irpf_pymes_base_35","irpf_pymes_cuota_35",1,1,-1,-1,1,1,1,1,"pgc_pymes_475135","pgc_pymes_475135",2540,,,"Hacienda Pública. Retenciones act. Profesionales 35%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_37","Retenciones IRPF 37%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-37.0')","irpf_pymes_base_37","irpf_pymes_cuota_37","irpf_pymes_base_37","irpf_pymes_cuota_37",1,1,-1,-1,1,1,1,1,"pgc_pymes_475137","pgc_pymes_475137",2550,,,"Hacienda Pública. Retenciones act. Profesionales 37%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_19a","Retenciones IRPF Arrendamientos 19%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-19.0')","irpf_pymes_base_19a","irpf_pymes_cuota_19a","irpf_pymes_base_19a","irpf_pymes_cuota_19a",1,1,-1,-1,1,1,1,1,"pgc_pymes_475119","pgc_pymes_475119",2600,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 19%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_195a","Retenciones IRPF Arrendamientos 19,5%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-19.5')","irpf_pymes_base_195a","irpf_pymes_cuota_195a","irpf_pymes_base_195a","irpf_pymes_cuota_195a",1,1,-1,-1,1,1,1,1,"pgc_pymes_475195","pgc_pymes_475195",2610,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 19,5%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_20a","Retenciones IRPF Arrendamientos 20%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-20.0')","irpf_pymes_base_20a","irpf_pymes_cuota_20a","irpf_pymes_base_20a","irpf_pymes_cuota_20a",1,1,-1,-1,1,1,1,1,"pgc_pymes_475120","pgc_pymes_475120",2620,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 20%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_sale_1","Retenciones a cuenta IRPF 1%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('-1.0')","irpf_pymes_base_sale_1","irpf_pymes_cuota_sale_1","irpf_pymes_base_sale_1","irpf_pymes_cuota_sale_1",1,1,-1,-1,1,1,1,1,"pgc_pymes_473001","pgc_pymes_473001",1530,,,"Hacienda Pública. Retenciones a cuenta empresarios módulos 1%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_sale_2","Retenciones a cuenta IRPF 2%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('-2.0')","irpf_pymes_base_sale_2","irpf_pymes_cuota_sale_2","irpf_pymes_base_sale_2","irpf_pymes_cuota_sale_2",1,1,-1,-1,1,1,1,1,"pgc_pymes_473002","pgc_pymes_473002",1520,,,"Hacienda Pública. Retenciones a cuenta act. agrícolas, ganaderas, forestales 2%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_sale_7","Retenciones a cuenta IRPF 7%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('-7.0')","irpf_pymes_base_sale_7","irpf_pymes_cuota_sale_7","irpf_pymes_base_sale_7","irpf_pymes_cuota_sale_7",1,1,-1,-1,1,1,1,1,"pgc_pymes_473007","pgc_pymes_473007",1540,,,"Hacienda Pública. Retenciones a cuenta act. profesionales 7%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_sale_9","Retenciones a cuenta IRPF 9%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('-9.0')","irpf_pymes_base_sale_9","irpf_pymes_cuota_sale_9","irpf_pymes_base_sale_9","irpf_pymes_cuota_sale_9",1,1,-1,-1,1,1,1,1,"pgc_pymes_473009","pgc_pymes_473009",1510,,,"Hacienda Pública. Retenciones a cuenta act. profesionales 9%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_sale_15","Retenciones a cuenta IRPF 15%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('-15.0')","irpf_pymes_base_sale_15","irpf_pymes_cuota_sale_15","irpf_pymes_base_sale_15","irpf_pymes_cuota_sale_15",1,1,-1,-1,1,1,1,1,"pgc_pymes_473015","pgc_pymes_473015",1500,,,"Hacienda Pública. Retenciones a cuenta act. profesionales 15%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_sale_18","Retenciones a cuenta IRPF 18%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('-18.0')","irpf_pymes_base_sale_18","irpf_pymes_cuota_sale_18","irpf_pymes_base_sale_18","irpf_pymes_cuota_sale_18",1,1,-1,-1,1,1,1,1,"pgc_pymes_473018","pgc_pymes_473018",1600,,,"Hacienda Pública. Retenciones a cuenta arrendamientos, cap. mobiliario 18%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_sale_19","Retenciones a cuenta IRPF 19%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('-19.0')","irpf_pymes_base_sale_19","irpf_pymes_cuota_sale_19","irpf_pymes_base_sale_19","irpf_pymes_cuota_sale_19",1,1,-1,-1,1,1,1,1,"pgc_pymes_473019","pgc_pymes_473019",1590,,,"Hacienda Pública. Retenciones a cuenta arrendamientos, cap. mobiliario 19%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_sale_195","Retenciones a cuenta IRPF 19,5%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('-19.5')","irpf_pymes_base_sale_195","irpf_pymes_cuota_sale_195","irpf_pymes_base_sale_195","irpf_pymes_cuota_sale_195",1,1,-1,-1,1,1,1,1,"pgc_pymes_473095","pgc_pymes_473095",1580,,,"Hacienda Pública. Retenciones a cuenta arrendamientos, cap. mobiliario 19,5%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_sale_20","Retenciones a cuenta IRPF 20%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('-20.0')","irpf_pymes_base_sale_20","irpf_pymes_cuota_sale_20","irpf_pymes_base_sale_20","irpf_pymes_cuota_sale_20",1,1,-1,-1,1,1,1,1,"pgc_pymes_473020","pgc_pymes_473020",1570,,,"Hacienda Pública. Retenciones a cuenta arrendamientos, cap. mobiliario 20%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_sale_21","Retenciones a cuenta IRPF 21%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('-21.0')","irpf_pymes_base_sale_21","irpf_pymes_cuota_sale_21","irpf_pymes_base_sale_21","irpf_pymes_cuota_sale_21",1,1,-1,-1,1,1,1,1,"pgc_pymes_473021","pgc_pymes_473021",1560,,,"Hacienda Pública. Retenciones a cuenta arrendamientos, cap. mobiliario 21%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_sale_35","Retenciones a cuenta IRPF 35%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('-35.0')","irpf_pymes_base_sale_35","irpf_pymes_cuota_sale_35","irpf_pymes_base_sale_35","irpf_pymes_cuota_sale_35",1,1,-1,-1,1,1,1,1,"pgc_pymes_473035","pgc_pymes_473035",1540,,,"Hacienda Pública. Retenciones a cuenta act. Profesionales 35%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_sale_37","Retenciones a cuenta IRPF 37%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('-37.0')","irpf_pymes_base_sale_37","irpf_pymes_cuota_sale_37","irpf_pymes_base_sale_37","irpf_pymes_cuota_sale_37",1,1,-1,-1,1,1,1,1,"pgc_pymes_473037","pgc_pymes_473037",1550,,,"Hacienda Pública. Retenciones a cuenta act. Profesionales 37%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_sale_19a","Retenciones a cuenta IRPF Arrendamientos 19%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('-19.0')","irpf_pymes_base_sale_19a","irpf_pymes_cuota_sale_19a","irpf_pymes_base_sale_19a","irpf_pymes_cuota_sale_19a",1,1,1,1,1,1,-1,-1,"pgc_pymes_473019","pgc_pymes_473019",1600,,,"Hacienda Pública. Retenciones a cuenta arrendamientos, cap. mobiliario 19%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_sale_195a","Retenciones a cuenta IRPF Arrendamientos 19,5%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('-19.5')","irpf_pymes_base_sale_195a","irpf_pymes_cuota_sale_195a","irpf_pymes_base_sale_195a","irpf_pymes_cuota_sale_195a",1,1,1,1,1,1,-1,-1,"pgc_pymes_473095","pgc_pymes_473095",1610,,,"Hacienda Pública. Retenciones a cuenta arrendamientos, cap. mobiliario 19,5%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_sale_20a","Retenciones a cuenta IRPF Arrendamientos 20%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('-20.0')","irpf_pymes_base_sale_20a","irpf_pymes_cuota_sale_20a","irpf_pymes_base_sale_20a","irpf_pymes_cuota_sale_20a",1,1,1,1,1,1,-1,-1,"pgc_pymes_473020","pgc_pymes_473020",1620,,,"Hacienda Pública. Retenciones a cuenta arrendamientos, cap. mobiliario 20%","True",,4,,,,,,,"False",,,,"False","False","False"
